OrderID,CustomerID,ProductID,OrderDate,Quantity,TotalPrice
1,425,40,2022-06-28,1,1177.68
2,571,277,2023-04-26,5,8217.0
3,511,247,2023-05-29,4,3801.4
4,857,427,2022-07-24,7,7779.099999999999
5,182,138,2021-08-06,1,1175.39
6,458,322,2021-11-20,4,5437.52
7,918,17,2023-05-07,7,6601.63
8,851,124,2020-03-28,7,6914.18
9,833,397,2021-03-19,9,8067.06
10,64,91,2023-09-27,5,6317.849999999999
11,839,246,2022-07-04,3,4328.82
12,260,489,2023-03-17,1,1035.99
13,193,496,2023-11-14,7,2996.21
14,655,476,2020-05-07,3,1962.3600000000001
15,616,113,2020-05-15,8,5969.68
16,972,126,2020-09-12,7,1967.56
17,406,266,2021-09-24,2,3166.2
18,726,241,2023-05-15,4,4169.36
19,754,436,2022-11-11,4,4758.72
20,943,138,2020-02-04,1,1175.39
21,721,246,2020-10-24,7,10100.58
22,93,238,2021-12-17,1,1530.06
23,430,303,2022-02-26,5,755.4000000000001
24,654,9,2023-01-21,7,4442.27
25,434,482,2022-04-16,4,6662.72
26,404,46,2022-06-17,9,5011.289999999999
27,434,373,2020-05-07,5,9461.2
28,112,359,2020-11-20,2,1142.86
29,929,124,2021-05-23,5,4938.7
30,375,68,2021-01-10,9,10042.47
31,59,365,2021-06-18,1,1239.51
32,43,438,2023-06-18,9,5168.34
33,207,324,2021-03-14,6,2628.18
34,780,132,2022-03-27,4,6135.88
35,296,361,2022-05-13,9,17386.02
36,118,459,2020-07-26,8,8061.12
37,532,385,2022-12-24,6,11503.68
38,222,237,2020-11-02,1,1443.13
39,166,213,2021-04-04,8,5125.76
40,643,59,2022-04-24,1,1917.97
41,156,153,2022-10-12,4,1566.72
42,184,393,2020-08-18,4,3581.96
43,90,281,2022-07-13,6,6206.099999999999
44,94,82,2021-06-11,4,7621.16
45,13,455,2020-01-05,7,649.11
46,973,238,2020-06-19,2,3060.12
47,834,410,2021-05-07,2,2981.02
48,805,312,2022-12-16,2,366.58
49,945,49,2023-01-25,7,4315.360000000001
50,742,466,2022-02-26,4,1444.04
51,834,65,2022-01-11,5,2928.35
52,804,189,2021-05-28,1,1757.97
53,438,9,2020-05-19,2,1269.22
54,538,394,2023-10-25,8,1844.96
55,587,368,2021-02-26,9,10939.050000000001
56,968,395,2021-07-18,5,7546.75
57,876,96,2020-01-12,5,9451.1
58,936,85,2021-11-04,9,17669.07
59,811,36,2020-06-10,3,1295.6100000000001
60,150,440,2020-01-17,8,14367.36
61,660,416,2022-02-12,9,1547.3700000000001
62,8,83,2020-01-30,7,13929.300000000001
63,29,456,2023-01-14,8,5096.32
64,296,163,2023-12-15,6,4430.700000000001
65,986,214,2022-05-04,4,2737.32
66,926,388,2020-07-26,4,1670.6
67,721,221,2020-10-08,2,3940.94
68,640,318,2023-12-26,1,160.34
69,340,319,2023-08-12,9,7012.349999999999
70,628,479,2022-03-24,6,6565.98
71,439,392,2022-08-19,7,463.53999999999996
72,144,119,2020-12-21,3,5111.04
73,942,76,2022-07-01,5,9816.65
74,830,69,2022-09-30,6,5363.9400000000005
75,747,445,2021-09-28,5,2671.75
76,519,94,2022-12-27,3,4786.68
77,976,319,2022-12-18,8,6233.2
78,45,317,2020-07-28,4,2793.16
79,955,355,2021-10-28,8,1836.24
80,239,293,2021-04-23,7,12244.82
81,952,254,2022-10-13,4,1722.88
82,944,4,2021-05-02,7,10903.41
83,155,56,2020-05-19,3,3840.8999999999996
84,181,43,2020-06-07,2,2580.22
85,215,277,2023-03-25,8,13147.2
86,88,58,2023-01-28,5,1559.1999999999998
87,256,250,2020-10-08,7,10300.57
88,511,144,2020-08-28,9,11973.87
89,73,309,2021-06-08,1,701.4
90,931,18,2022-07-01,9,7434.99
91,179,313,2020-10-23,9,14204.97
92,212,351,2023-08-04,6,1200.66
93,805,166,2021-09-23,6,10742.94
94,234,379,2021-09-13,9,12385.98
95,465,32,2023-11-01,8,15419.2
96,751,112,2023-10-10,1,67.63
97,223,225,2020-11-01,2,2677.96
98,631,275,2020-01-03,8,4065.6
99,825,340,2021-05-24,6,5245.92
100,264,304,2023-06-15,4,4481.08
101,207,74,2023-11-30,3,442.38
102,607,154,2022-08-12,9,15661.800000000001
103,885,110,2021-08-29,2,2045.7
104,734,338,2023-07-19,8,11911.04
105,366,429,2023-10-24,7,8769.11
106,276,173,2020-11-17,9,3716.7300000000005
107,380,271,2021-03-15,1,72.27
108,743,484,2020-03-26,5,3251.0
109,309,146,2021-08-12,3,1270.83
110,631,287,2021-09-14,4,3293.12
111,268,399,2022-12-28,3,2691.27
112,945,102,2023-03-24,5,4899.8
113,785,477,2021-04-08,7,3761.9399999999996
114,64,490,2023-01-15,5,9425.95
115,810,15,2023-01-02,3,4731.72
116,350,249,2020-08-10,1,1404.46
117,925,65,2021-10-18,7,4099.69
118,915,485,2021-09-10,1,1831.89
119,494,361,2022-11-16,4,7727.12
120,523,471,2020-04-13,1,1769.3
121,98,174,2022-08-12,3,2089.6499999999996
122,946,331,2020-02-28,3,5885.16
123,71,358,2020-03-19,7,9202.06
124,364,400,2020-05-31,3,4382.16
125,570,439,2022-08-07,8,6147.84
126,802,30,2023-01-27,2,3966.18
127,763,477,2020-05-20,7,3761.9399999999996
128,276,41,2022-06-28,6,2019.48
129,50,67,2022-08-23,2,1892.7
130,358,488,2022-12-11,4,2964.52
131,728,273,2020-04-05,9,17478.0
132,906,26,2020-07-31,8,1302.4
133,928,118,2023-03-27,2,1354.52
134,564,329,2022-12-13,8,4710.56
135,783,209,2021-12-26,3,4028.82
136,485,357,2022-07-03,3,3798.3599999999997
137,84,248,2021-01-13,3,5537.82
138,899,448,2023-04-25,5,4564.8
139,805,95,2023-08-19,7,12742.800000000001
140,638,314,2021-12-06,4,2428.92
141,808,95,2022-02-07,1,1820.4
142,584,459,2020-03-28,7,7053.48
143,296,102,2023-04-18,5,4899.8
144,236,214,2022-10-01,8,5474.64
145,56,494,2020-10-03,5,5645.349999999999
146,919,131,2023-04-26,3,412.74
147,360,376,2021-09-27,3,1335.3899999999999
148,907,382,2023-04-14,8,9493.68
149,110,369,2020-03-14,9,15650.01
150,192,412,2020-05-19,1,534.33
151,904,480,2021-04-15,8,5967.44
152,93,132,2020-04-25,9,13805.73
153,862,424,2021-03-14,4,6479.72
154,568,102,2020-09-15,9,8819.64
155,60,459,2023-10-29,2,2015.28
156,650,57,2021-07-31,6,5537.76
157,39,193,2021-10-07,8,986.08
158,540,431,2022-02-04,8,11911.52
159,49,255,2023-11-30,4,2893.68
160,420,464,2021-05-09,6,7965.539999999999
161,637,162,2023-06-27,7,4206.09
162,13,429,2020-03-13,3,3758.19
163,992,32,2020-10-03,8,15419.2
164,36,172,2023-12-15,3,3608.1000000000004
165,101,494,2020-06-09,2,2258.14
166,794,97,2021-09-25,7,13455.82
167,86,139,2020-11-16,2,1492.78
168,516,292,2023-10-20,5,3077.9500000000003
169,223,141,2020-11-22,8,4315.6
170,338,313,2022-11-29,4,6313.32
171,960,468,2023-09-04,8,1499.68
172,166,153,2022-08-29,4,1566.72
173,383,198,2023-03-29,1,1068.89
174,856,421,2022-03-20,2,416.48
175,895,346,2021-03-11,1,573.64
176,376,132,2021-06-24,8,12271.76
177,471,365,2022-03-24,4,4958.04
178,790,26,2022-12-25,9,1465.2
179,642,466,2023-01-27,6,2166.06
180,31,269,2022-08-18,7,693.91
181,375,72,2021-06-23,2,1837.62
182,11,435,2021-02-05,3,5536.47
183,988,303,2023-06-15,6,906.48
184,302,381,2023-07-27,6,480.12
185,96,417,2022-08-04,2,1889.86
186,190,491,2021-06-24,7,12311.74
187,453,208,2021-11-01,4,1949.48
188,192,170,2022-05-12,6,6121.200000000001
189,486,231,2021-05-06,2,2376.72
190,266,384,2021-05-10,8,7424.0
191,424,287,2020-03-26,8,6586.24
192,128,168,2023-03-26,6,9430.26
193,238,215,2020-10-02,3,4318.83
194,920,116,2021-03-25,6,7722.0599999999995
195,355,144,2020-03-08,5,6652.150000000001
196,940,312,2021-11-16,2,366.58
197,112,330,2020-10-01,5,4462.200000000001
198,828,36,2021-10-08,2,863.74
199,446,223,2023-11-24,5,4083.65
200,343,236,2022-03-11,1,628.29
201,145,352,2020-10-25,1,197.39
202,65,469,2020-04-16,1,412.01
203,247,336,2023-05-20,7,1896.58
204,735,184,2022-07-30,5,3488.85
205,991,477,2023-11-12,8,4299.36
206,490,242,2020-09-27,3,2310.3
207,825,304,2021-07-08,3,3360.81
208,439,493,2023-08-02,7,5710.740000000001
209,106,208,2022-03-17,9,4386.33
210,181,58,2020-04-16,9,2806.56
211,184,271,2023-08-15,8,578.16
212,226,456,2020-01-14,6,3822.24
213,777,399,2021-08-20,1,897.09
214,790,149,2022-02-24,3,3109.8599999999997
